,product,gender,length,review,star
37,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
172cm、60kgでMを購入したが、同時に購入したナイキ、アマゾンエッセンシャルズ、グンゼ YG、どのMサイズノースリーブシャツと比較しても一回り大きく、普通の感覚でいったらLサイズかそれ以上のサイズだろうというようなものが届いた。タグには確かにMと書いてあるが、全くフィットしない。ノースリーブなのに普通に着ると肩にかかってしまう。これでMってUSサイズかよ。形も、脇下より肩上の方が外に出ており、中途半端に袖があるような感じになってしまい、少なくとも着用した時点では写真やパッケージに貼り付けてあるシールに載っている図のような形状とはならない。同時購入した他ブランドのノースリーブシャツではこのようなことはありませんでした。同じグンゼが出しているのに、YGとここまでサイズ感が違うのは如何なものか。正直、この商品の評価が高い意味が全くわかりません。
",0
38,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
おじさんなのでこの夏着ると汗臭くなりそうで着ていません。
",0
39,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
肌触りが以前のものより、より柔らかになったように思います。パットの大きさもちょうどよく、身体にフィットして気持ちがいいです。
",1
40,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
いつも安心して購入出来る商品です。首回りが洗濯しても伸びないし何より着ていて軽いのが最高です。色々と試した結果、やはり自分にはこのシャツでした。
",1
41,【STANDARD】半袖インナー(レディース),女性,半袖,"
肌触りがよく愛用しています。ソフトベージュは色味がトップスに響かないので使いやすいです。
",1
42,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
胸のサイズがあってないのかずり落ちます。肌ざわりはよいのですが残念です。
",0
43,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% フレンチ袖 TC4052 レディース,女性,半袖,"
以前購入し気に入っていたので再度購入しましたが　生地が固くなった？？・・何だか着心地が以前と違い窮屈さを感じます　　
",0
44,[グンゼ] インナーシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ クルーネックスリーブレス 汗取りパッド付 メンズ,男性,半袖,"
前面後面ともカットが浅く、Tシャツだと見えてしまう。カットし直した。
",0
45,[グンゼ] インナーシャツ ホットマジック 寒さ知らず ロング ハイネック 日本製 MH5645 レディース,女性,長袖,"
夜中に注文して翌日の15時過ぎには届き、あまりの速さに驚きです！！（通常配達なのに。）届いてすぐに試着しました。9か月の妊婦ですが、ストレッチが大変良くてお腹まですっぽり覆いとっても暖かくて快適です。肌触りもよく優しい暖かさです。暖房の必要なく、夜も毛布と羽根布団のみでポカポカです。ハイネックなので首回りも暖かいです。本当に、寒さ知らずです。サイズもぴったりです。
",1
46,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
これは「Ｌサイズﾞ」ですよ。楽でよいですが。風通しが良くて・・・😠
",0
47,【直営店限定】ＶネックＴシャツ(メンズ),男性,半袖,"
綿のインナーが好きなので、購入しました。生地の厚みもちょうどよく、肌への当たりもやわらかく、サイズ感もぴったりで最高です。白い肌着は、野暮ったくなりがちなものもありますが、こちらはデザインもシャープでダサくならないのが良いです。
",1
48,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
胸のサイズがあってないのかずり落ちます。肌ざわりはよいのですが残念です。
",0
49,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
毎日の風呂上がりに着ています。何回も洗濯しても形が崩れにくく肌触りも良いです。同じような価格の他の製品も試してみましたが、すぐに型崩れしました。
",1
50,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
首が
",0
51,[グンゼ] インナーシャツ YG CUT OFFシリーズ VネックTシャツ YV1515 メンズ NEWホワイト 日本M (日本サイズM相当),男性,半袖,"
最初試しに３枚購入。予想以上にピッタリ。即リピ２枚追加購入。Vネックの深さもちょうど良く第一ボタン外しても問題無し。ネクタイしても深すぎるとU首みたくオッサン透けしますが、こちらはまったく問題なし。
",1
52,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
Lサイズを購入したのですが、首まわりが少しきつめです。L Lサイズが良かったのでは、と思ってますが着丈も着心地もいいので、今後はL Lサイズに挑戦したいと思います。
",0
53,【STANDARD】ＶネックＴシャツ(Ｖ首)(メンズ),男性,半袖,"
肌着も衣替えすると気持ちがいいとグンゼさんに教わり　三年半頑張ってくれよくみると黄ばんだ息子のシャツをまとめ買いしました、とっても肌触りよく気に入りました
",1
54,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
安いのに着心地がとても良い！またリピートします！
",1
55,[グンゼ] インナーシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ クルーネックスリーブレス 汗取りパッド付 メンズ,男性,半袖,"
オレンジ色は正直どうかなぁと思っていましたが、主人で試すと白シャツに着てみたら全く透けませんでした。ベージュは透けることはありませんが、着ている部分が少し黒っぽくなります。絶対に透けたくない人はオレンジがオススメです。
",1
56,[グンゼ] インナーシャツ ホットマジック 寒さ知らず 8分袖 日本製 MH5646 レディース,女性,長袖,"
手放せません。暖かし、肌に優し、着心地もよし。ユニ○ロのヒートテック、ミ○ノのブレスサーモのインナーも使いましたが、このグンゼのホットマジックが群を抜いて暖かいです。真冬に一日中外で過ごさなければならない時、自宅でも節約で暖房付けずに過ごしたい時など、とにかく恰好よりも暖かさを追求したいなら、勝るものはないです。生地が厚いので、下に着ると着ぶくれするのでおしゃれには不向きですので、ジャケットやブラウスを着る仕事の時は、薄手のユニ○ロのヒートテックを着ていますが。
",1
57,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
大きめを買ってちょうどいい感じだった。肌触りもいいし安いし全部満足。
",1
58,[グンゼ] インナーシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ クルーネックスリーブレス 汗取りパッド付 メンズ,男性,半袖,"
普段はユニクロのエアリズムを愛用していますが、スーツを着る際に透けるのが嫌でこちらを購入しました。サイズはMで少しピッチリでしたが、何回か着用し洗濯すると少し伸びた感じになりフィットしたので、かなり今は着やすいです。着ていることを忘れるくらいの心地良さなので、エアリズムから乗り換えようと思います。
",1
59,【STANDARD】2分袖インナー(レディース),女性,半袖,"
とても良い商品です。透けが気になるのでベージュ系を買いますが、やっぱりおばさんくさいので薄目の色味のグレーがあると助かります。夫はベージュが嫌だからと言って着てくれません。ものはとてもいいので是非グレーもお願いします。
",1
60,半袖Ｕ首(メンズ),男性,半袖,"
柔らかくて心地よい。夏にうれしい涼しさ！ワイシャツの下に着るので、シャツが見えないようU首があるのがよい！首の後ろのマークが目立たないのも助かる。
",1
61,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
化繊で肌がかゆくなるので綿のこちらを買ってみましたまったくかゆくないのですがパットが…豊満な方はいいかもしれませんが貧相な胸元には合いません。寝る時にしか着れません…
",0
62,[グンゼ] スリーブレスシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ 汗パット強化版3層構造 メンズ,男性,半袖,"
汗パットに汗を吸ったあと蒸発しないので、ワイシャツにシミができます！メイドインジャパンとは言えない縫製レベルですね。そのうち、破れるのではないか心配ですね
",0
63,【STANDARD】ＶネックＴシャツ(Ｖ首)(メンズ),男性,半袖,"
プレゼントの為購入です。加齢臭対策の効果ありだそうで、気に入って貰えました。年配の方には下着のプレゼントはマナー違反かとも思ったのですが、繊維も進化して、機能付きとなり案外良いものかも知れません。
",1
64,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
リピです 前回はLL 今回はLにしました肌触りもよく気に入ってます洗濯する時はネットに入れてます
",1
65,[グンゼ] インナーシャツ ホットマジック 寒さ知らず 8分袖 日本製 MH5646 レディース,女性,長袖,"
家族に贈りました。気にいって使ってます
",1
66,【Fitte】ブラタンクトップ（レディース）,女性,半袖,"
仕方のないことなのですが、パットと身頃を縫い付けてある部分が肋骨に当たって気になる見た目は悪いが、縫い代が外側にあると良いと思う
",0
67,[グンゼ] インナーシャツ ホットマジック 寒さ知らず ロング ハイネック 日本製 MH5645 レディース,女性,長袖,"
Mサイズなのに、とても小さかったです。グンゼなので、良いかと思い購入しましたが、もう買わないです。
",0
68,【接触冷感】ＶネックＴシャツ（メンズ）【SALE】,男性,半袖,"
よいです。この夏バリバリきたいと思います
",1
69,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
トゥシェは半袖で愛用して着心地良かったので、肌弱なので長袖も綿を探して。私は細身なほうですが、腕が長いからこちらは作りが小さめなので余裕がないかな。。 サイズをあげると胸が開きすぎるし悩みどころ。7部だし、丈も長くはないので冬は寒く感じますが、まぁよしとします。 でも半袖を何年か前に近くの店頭で買った時は日本製でした。いつからか変わったみたいで残念です！
",0
70,脇パッド付きVネックTシャツ(深めのＶ首)(短袖)(メンズ)【SALE】,男性,半袖,"
着心地は良いが、脇パッドがあまり機能していない？構造的に湿気が逃げ難いのか、汗と匂いを溜め込んでしまっている気がする。同社の普通のTシャツのときは汗の匂いは気にならないが、このシャツは駄目。体臭はあまりないほうだがこのシャツのときは少し気になるので会社着ていくのはやめた。
",0
71,[グンゼ] インナーシャツ YG 綿100% クルーネック長袖 YV0011N メンズ,男性,長袖,"
綿１００％と銘打っていますが、肝心の体の弱い部分（首回り）にポリエステルが２０％使われているのは困ったものですね。手首部分のリブがないところは良いのに、残念なことです。
",0
72,[グンゼ] インナーシャツ YG CUT OFFシリーズ VネックTシャツ YV1515 メンズ NEWホワイト 日本M (日本サイズM相当),男性,半袖,"
よく皆さんこんな暑い下着着てられますね。ヒートテックなみに暑いです。異常に伸縮性が強くよく伸びるんですが、その分身体にピタっと張り付いてきて余計に暑いです。綿が多いので防臭性は良いですが、こんなに暑かったら意味がないです。
",0
73,[グンゼ] インナーシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ クルーネックスリーブレス 汗取りパッド付 メンズ,男性,半袖,"
汗パットついていますが結構自分は汗っかきなせいもあってかあんまり機能していない気がします。パット有りと無しがありますがどちらもそんなに変わらないと思われます。丈が少し長めです。
",0
74,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
ユニクロか無印か迷いましたが、今回はグンゼを購入しました。襟首は丈夫で乾燥機にかけてもよれませんでした。生地がわりとしっかりしているので、このTシャツとシャツの組み合わせだと夏は少しだけ暑いかもしれません。が、しっかりした生地と丈夫さは折り紙付きだと思います
",1
75,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
リピートしているのは気に入ってるからで、特に良いとか悪いとか全く意識しておりません。わたしはこれです。
",1
76,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
ジャストフィットです！
",1
77,半袖Ｕ首(メンズ),男性,半袖,"
快適工房だけあって汗を吸って着心地が良かったです。記事も厚く良い綿だと思います。
",1
78,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
ありがとうございました‼️
",0
79,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
さすが、グンゼさんですね
",1
80,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 長袖丸首 2枚組 SV61082 メンズ,男性,長袖,"
生地がしっかりしている。長袖だが袖がワイシャツなどからはみ出ないような工夫がある。着た瞬間から脱ぎ終わるまで存在感を感じない。格別な肌触りなどないが、蒸れないし動くときに違和感もない。下着としての完成度が高い
",1
81,[グンゼ] スリーブレスシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ 汗パット強化版3層構造 メンズ,男性,半袖,"
確かにワキ汗はガードしてくれてＴシャツはきれいに着れます。だけど素材が厚いので真夏はかなり暑いですね🥵　ワキだけ厚い素材で他はメッシュだと過ごしやすいと思います
",0
82,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% フレンチ袖 TC4052 レディース,女性,半袖,"
生地もサイズも良く、とても良いです。汗もしっかり吸ってくれます。また買い足しする予定です。
",1
83,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
肌触りも良い。ちょっと袖が短いかなぁって感じやけど問題無し。追加で3つ買ってしまった笑笑
",1
84,【Fitte】ブラタンクトップ（レディース）,女性,半袖,"
前回、グリーンを購入。着心地が良くて気に入ったので、２枚目購入しました。
",1
85,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
楽ですが、少したよりない感じもします。綿セーターの下に着たかったので、これくらいでもいいかなと思いました。
",0
86,[グンゼ] スリーブレスシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ 汗パット強化版3層構造 メンズ,男性,半袖,"
購入前に、身長とサイズの表記を参考にしてみたら、別に関係無かった。小さいサイズで買ってしまったが、特に問題は無い。あとは好みの問題。
",0
87,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
お正月の海外旅行に防寒目的で購入、ビックリ、生地が薄いし棉100%との表示に、大丈夫か？◯ート◯ックにしようかとも思いましたが、氷点下3度の現地でも着ぶくれすることなく快適に過ごせました。肌あたりはさすが「着るコスメ」、上掲製品に較べチクチクしない！欲を言えば袖がもう少し太くて作りがもうひと回り大きければなおいい。当方160㎝47㎏標準体型なのでLでも良かったかも。ワンサイズ上げてもいいと思います。
",1
88,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
抜群の安定感。間違いがないですね。洗濯しても、首回りもしっかりしているし、グンゼさんの商品は全体的に信用して買い物できるので、ありがたいです。期待に応えてくれる商品をありがとうございます。
",1
89,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
G.T.HAWKINSの肌触りは気に入っています。
",1
90,[グンゼ] スリーブレスシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ 汗パット強化版3層構造 メンズ,男性,半袖,"
Lサイズ購入しましたが、汗の量が多いのと、脇汗吸収部分が離れてしまって汗を吸いきれずしみでた。Mサイズだったら良かったのかも。
",0
91,[グンゼ] インナーシャツ YG CUT OFFシリーズ VネックTシャツ YV1515 メンズ NEWホワイト 日本M (日本サイズM相当),男性,半袖,"
縫い目が無いので着心地が良いです。伸びやヨレも無く普通に耐久性も有り愛用しています。170センチ60キロMサイズです。
",1
92,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
綿100％が好きな者にとっては、とても嬉しい商品ですが、どうしてもパットが動いてしまいます。
",0
93,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
リピート購入しました。気心地が良く気に入っています。
",0
94,【STANDARD】タンクトップ(レディース),女性,半袖,"
寝るとき、パジャマの下にきています。綿100  なので、痒くならなくて、とても快適です。バイオレットを持っていたので、色違いの黒を買ってみましたが、落着きある感じでいいです。
",1
95,[グンゼ] インナーシャツ CFA さわやか綿100% 2分袖 日本製 CB3252 レディース,女性,半袖,"
とても素敵です。ありがとうございます(^^)また機会有りましたら是非購入したいと思います。
",1
96,【Ｔシャツ専用】袖あり・汗取り付Ｔシャツ（短袖）（メンズ）【まとめ買い割対象】,男性,半袖,"
主人の下着として購入しましたが、つなぎめがなく、スッキリとしていて心地よいとの事です。
",0
97,[グンゼ] インナーシャツ CFA さわやか綿100% 2分袖 日本製 CB3252 レディース,女性,半袖,"
インナーといえばユニ●ロが多いのですが、夏のユニ●ロはペラペラすぎてあまり汗をすいません。夏は肌に優しい綿の方が私は良いので満足。値段的にもお値打ちです。
",1
98,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% フレンチ袖 TC4052 レディース,女性,半袖,"
タンクやキャミよりかは脇下汗の処理には有効かと感じましたが　余りにも丈が少なく背中がめくれて気持ちが悪い印象があります。
",0
99,[グンゼ] インナーシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ クルーネックスリーブレス 汗取りパッド付 メンズ,男性,半袖,"
はじめ着た時は、ピタッとしてきついかなと思ったし、わきキャップも初体験の感覚だったので、ちょっと気になったが、すぐに気にならなくなって、自然に過ごせた。Tシャツの下としては、肌に密着していた方がいいんだなと改めて実感。よく考えられて作られている。さすがグンゼだと思いました。
",1
